# MEAN_SAMPLE_SIZE = 42038
# TOTAL_GENES = 18669
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_antig...          SET      79     -0.15984    -0.010376      0.11581      0.91623 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      16      0.36557     0.010698      0.25595     0.076617 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET      99    0.0083511   0.00060654     0.092813      0.46415 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      58    -0.044641   -0.0024844      0.11616      0.64962 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      65     -0.20348    -0.011986      0.10504      0.97362 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      50     -0.17439   -0.0090133      0.11849      0.92945 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     145      0.03107    0.0027276     0.080631         0.35 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      80     -0.23456    -0.015322      0.10134      0.98967 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     128     -0.07483    -0.006175     0.085048      0.81052 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET     105    -0.041991   -0.0031404     0.084723      0.68992 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      73     -0.13077   -0.0081616      0.10446       0.8947 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      79    -0.029399   -0.0019084     0.097541      0.61844 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      93     0.088991    0.0062655     0.096572       0.1784 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     109    0.0056993   0.00043423     0.086564      0.47375 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      43     -0.10348   -0.0049605      0.13461      0.77896 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13    -0.038421   -0.0010136      0.25761      0.55928 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      65     0.056599    0.0033339      0.10888       0.3016 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     120     0.050728    0.0040541      0.08163      0.26716 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      68     0.062154    0.0037444      0.11013      0.28626 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     347     -0.13833    -0.018684     0.064874       0.9835 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      47   -0.0025493  -0.00012775      0.15822      0.50643 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     196     0.099418     0.010133     0.066008     0.066023 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     130    0.0098839   0.00082193     0.077797      0.44945 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      98     0.047941    0.0034644     0.092912      0.30293 Curated_gene_sets:kegg_gnrh_signaling_pathway
